TimeMilliseconds,Heading,Pitch,Roll,Lx,Ly,Lz,Lmag,Gx,Gy,Gz,GpsAltitudeIsValid,GpsAltitudeIsUpdated,GpsAltitudeAge,GpsAltitudeMeters,GpsCourseIsValid,GpsCourseIsUpdated,GpsCourseAge,GpsCourseDeg,GpsDateIsValid,GpsDateIsUpdated,Date Age,GpsTimeIsValid,GpsTimeIsUpdated,GpsTimeAge,Iso8601,HdopIsValid,HdopIsUpdated,HdopAge,HDOP (Horizontal Dilution of Precision),LocationIsVaLid,LocationIsUpdated,Fix Age,LocationLat,LocationLng,LocationRawLatBillionths,LocationRawLngBillionths,SatellitesTrackingIsValid,SatellitesTrackingIsUpdated,SatellitesTrackingAge,GpsSatellitesTrackingValue,GpsSpeedIsValid,GpsSpeedIsUpdated,GpsSpeedAge,Vehicle Speed (knots),Characters Received,Sentences Received,# Checksum Failures,GpsPassedChecksums,Ambient Temperature (*Celcius),Ambient Pressure (Pascal) [filtered],Relative Humidity (%),Altitude (meters) [filtered],Phase
8072092,66.06,2.61,3.56,-0.01,-0.01,-0.01,0.017,-0.44,0.6,9.77,,,,0,,,,,,,262,,,,2017-08-05T23:16:49Z,,,,0,,,,35.487229,-85.95816,,,,,,0,,,,0,1289699,0,61,,40.88,97919.62,28.6,287.46,0
8072117,66.06,2.61,3.56,-0.01,-0.01,-0.01,0.017,-0.44,0.6,9.77,,,,0,,,,,,,289,,,,2017-08-05T23:16:49Z,,,,0,,,,35.487229,-85.95816,,,,,,0,,,,0,1289699,0,61,,40.88,97919.9,28.6,287.43,0
8072146,66.06,2.61,3.56,-0.02,0,-0.02,0.028,-0.44,0.6,9.77,,,,0,,,,,,,319,,,,2017-08-05T23:16:49Z,,,,0,,,,35.487229,-85.95816,,,,,,0,,,,0,1289699,0,61,,40.88,97919.44,28.62,287.47,0
8072178,66.06,2.61,3.56,-0.01,0,0,0.010,-0.44,0.6,9.77,,,,0,,,,,,,349,,,,2017-08-05T23:16:49Z,,,,0,,,,35.487229,-85.95816,,,,,,0,,,,0,1289699,0,61,,40.88,97919.06,28.62,287.51,0
8072204,66.06,2.61,3.56,-0.01,0,-0.02,0.022,-0.44,0.6,9.77,,,,0,,,,,,,375,,,,2017-08-05T23:16:49Z,,,,0,,,,35.487229,-85.95816,,,,,,0,,,,0,1289699,0,61,,40.88,97918.75,28.62,287.53,0
8072232,66.06,2.61,3.56,-0.01,0,-0.02,0.022,-0.44,0.6,9.77,,,,0,,,,,,,401,,,,2017-08-05T23:16:49Z,,,,0,,,,35.487229,-85.95816,,,,,,0,,,,0,1289699,0,61,,40.88,97918.31,28.62,287.57,0
8072260,66.06,2.61,3.56,0,0,-0.02,0.020,-0.44,0.6,9.77,,,,0,,,,,,,431,,,,2017-08-05T23:16:49Z,,,,0,,,,35.487229,-85.95816,,,,,,0,,,,0,1289699,0,61,,40.88,97917.96,28.62,287.6,0
8072285,66.06,2.61,3.56,0,0,-0.02,0.020,-0.44,0.6,9.77,,,,0,,,,,,,458,,,,2017-08-05T23:16:49Z,,,,0,,,,35.487229,-85.95816,,,,,,0,,,,0,1289699,0,61,,40.88,97917.85,28.65,287.61,0
8072320,66.06,2.61,3.56,0,0,-0.01,0.010,-0.44,0.6,9.77,,,,0,,,,,,,491,,,,2017-08-05T23:16:49Z,,,,0,,,,35.487229,-85.95816,,,,,,0,,,,0,1289699,0,61,,40.88,97917.76,28.65,287.62,0
8072346,66.06,2.61,3.56,0,-0.01,0,0.010,-0.44,0.6,9.77,,,,0,,,,,,,519,,,,2017-08-05T23:16:49Z,,,,0,,,,35.487229,-85.95816,,,,,,0,,,,0,1289699,0,61,,40.88,97917.69,28.65,287.62,0
8072378,66.06,2.61,3.56,0,0,0,0.000,-0.44,0.6,9.77,,,,0,,,,,,,549,,,,2017-08-05T23:16:49Z,,,,0,,,,35.487229,-85.95816,,,,,,0,,,,0,1289699,0,61,,40.89,97917.84,28.66,287.61,0
8072404,66.06,2.61,3.56,0,0,-0.02,0.020,-0.44,0.6,9.77,,,,0,,,,,,,574,,,,2017-08-05T23:16:49Z,,,,0,,,,35.487229,-85.95816,,,,,,0,,,,0,1289699,0,61,,40.89,97917.95,28.66,287.6,0
8072429,66.06,2.61,3.56,0,0,-0.02,0.020,-0.44,0.6,9.77,,,,0,,,,,,,599,,,,2017-08-05T23:16:49Z,,,,0,,,,35.487229,-85.95816,,,,,,0,,,,0,1289699,0,61,,40.88,97918.1,28.65,287.59,0
8072458,66.06,2.61,3.56,0,0,-0.03,0.030,-0.44,0.6,9.77,,,,0,,,,,,,630,,,,2017-08-05T23:16:49Z,,,,0,,,,35.487229,-85.95816,,,,,,0,,,,0,1289699,0,61,,40.88,97918.22,28.65,287.58,0
8072487,66.06,2.61,3.56,0,0,-0.02,0.020,-0.44,0.6,9.77,,,,0,,,,,,,659,,,,2017-08-05T23:16:49Z,,,,0,,,,35.487229,-85.95816,,,,,,0,,,,0,1289699,0,61,,40.88,97918.31,28.65,287.57,0
8072518,66.06,2.61,3.56,0,0,-0.03,0.030,-0.44,0.6,9.77,,,,0,,,,,,,690,,,,2017-08-05T23:16:49Z,,,,0,,,,35.487229,-85.95816,,,,,,0,,,,0,1289699,0,61,,40.88,97918.46,28.62,287.56,0
8072547,66.06,2.61,3.56,0,0,-0.02,0.020,-0.44,0.6,9.77,,,,0,,,,,,,719,,,,2017-08-05T23:16:49Z,,,,0,,,,35.487229,-85.95816,,,,,,0,,,,0,1289699,0,61,,40.88,97918.59,28.62,287.55,0
8072575,66.06,2.61,3.56,0,0,-0.02,0.020,-0.44,0.6,9.77,,,,0,,,,,,,744,,,,2017-08-05T23:16:49Z,,,,0,,,,35.487229,-85.95816,,,,,,0,,,,0,1289699,0,61,,40.88,97918.18,28.62,287.58,0
8072595,66.06,2.61,3.56,0,0,0,0.000,-0.44,0.6,9.77,,,,0,,,,,,,768,,,,2017-08-05T23:16:49Z,,,,0,,,,35.487229,-85.95816,,,,,,0,,,,0,1289699,0,61,,40.88,97917.84,28.62,287.61,0
8072625,66.06,2.61,3.56,0,0,0,0.000,-0.44,0.6,9.77,,,,0,,,,,,,794,,,,2017-08-05T23:16:49Z,,,,0,,,,35.487229,-85.95816,,,,,,0,,,,0,1289699,0,61,,40.88,97917.58,28.62,287.63,0
8072654,66.06,2.61,3.56,0,-0.01,-0.02,0.022,-0.44,0.6,9.77,,,,0,,,,,,,824,,,,2017-08-05T23:16:49Z,,,,0,,,,35.487229,-85.95816,,,,,,0,,,,0,1289699,0,61,,40.88,97917.53,28.65,287.64,0
8072679,66.06,2.61,3.56,0,-0.02,-0.02,0.028,-0.44,0.6,9.77,,,,0,,,,,,,850,,,,2017-08-05T23:16:49Z,,,,0,,,,35.487229,-85.95816,,,,,,0,,,,0,1289699,0,61,,40.88,97917.5,28.65,287.64,0
8072710,66.06,2.61,3.56,0,-0.02,-0.02,0.028,-0.44,0.6,9.77,,,,0,,,,,,,880,,,,2017-08-05T23:16:49Z,,,,0,,,,35.487229,-85.95816,,,,,,0,,,,0,1289707,0,61,,40.88,97917.8,28.62,287.61,0
8072735,66.06,2.61,3.56,0,-0.02,-0.01,0.022,-0.44,0.6,9.77,,,,0,,,,,,,908,,,,2017-08-05T23:16:49Z,,,,0,,,,35.487229,-85.95816,,,,,,0,,,,0,1289731,0,61,,40.88,97918.04,28.62,287.59,0
8072769,66.06,2.61,3.56,-0.01,-0.02,-0.01,0.024,-0.44,0.6,9.77,,,,0,,,,,,,940,,,,2017-08-05T23:16:50Z,,,,0,,,,35.487229,-85.95816,,,,,,0,,,,0,1289767,0,61,,40.88,97918.24,28.62,287.58,0
8072795,66.06,2.61,3.56,-0.01,-0.02,-0.01,0.024,-0.44,0.6,9.77,,,,0,,,,,,,968,,,,2017-08-05T23:16:50Z,,,,0,,,,35.487229,-85.95816,,,,,,0,,,,0,1289791,0,61,,40.88,97918.66,28.63,287.54,0
8072825,66.06,2.61,3.56,-0.02,-0.02,0,0.028,-0.44,0.6,9.77,,,,0,,,,,,,4,,,,2017-08-05T23:16:50Z,,,,0,,,,35.487229,-85.95816,,,,,,0,,,,0,1289819,0,61,,40.88,97918.99,28.63,287.51,0
8072853,66.06,2.61,3.56,-0.02,-0.02,-0.02,0.035,-0.44,0.6,9.77,,,,0,,,,,,,34,,,,2017-08-05T23:16:50Z,,,,0,,,,35.487229,-85.95816,,,,,,0,,,,0,1289843,0,61,,40.88,97918.58,28.62,287.55,0
8072881,66.06,2.61,3.56,-0.02,-0.02,-0.01,0.030,-0.44,0.6,9.77,,,,0,,,,,,,61,,,,2017-08-05T23:16:50Z,,,,0,,,,35.487229,-85.95816,,,,,,0,,,,0,1289855,0,61,,40.88,97918.24,28.62,287.58,0
8072910,66.06,2.61,3.56,-0.02,-0.01,-0.02,0.030,-0.44,0.6,9.77,,,,0,,,,,,,90,,,,2017-08-05T23:16:50Z,,,,0,,,,35.487229,-85.95816,,,,,,0,,,,0,1289855,0,61,,40.88,97917.97,28.62,287.6,0
8072936,66.06,2.61,3.56,-0.02,-0.01,-0.01,0.024,-0.44,0.6,9.77,,,,0,,,,,,,118,,,,2017-08-05T23:16:50Z,,,,0,,,,35.487229,-85.95816,,,,,,0,,,,0,1289855,0,61,,40.88,97917.92,28.61,287.6,0
8072968,66.06,2.61,3.56,-0.02,-0.01,-0.01,0.024,-0.44,0.6,9.77,,,,0,,,,,,,150,,,,2017-08-05T23:16:50Z,,,,0,,,,35.487229,-85.95816,,,,,,0,,,,0,1289855,0,61,,40.88,97917.89,28.61,287.61,0
8072996,66.06,2.61,3.56,-0.01,-0.01,0,0.014,-0.44,0.6,9.77,,,,0,,,,,,,179,,,,2017-08-05T23:16:50Z,,,,0,,,,35.487229,-85.95816,,,,,,0,,,,0,1289855,0,61,,40.89,97918,28.62,287.6,0
8073023,66.06,2.61,3.56,-0.01,0,-0.01,0.014,-0.44,0.6,9.77,,,,0,,,,,,,202,,,,2017-08-05T23:16:50Z,,,,0,,,,35.487229,-85.95816,,,,,,0,,,,0,1289855,0,61,,40.89,97918.09,28.62,287.59,0
8073055,66.06,2.61,3.56,0,0,-0.03,0.030,-0.44,0.6,9.77,,,,0,,,,,,,237,,,,2017-08-05T23:16:50Z,,,,0,,,,35.487229,-85.95816,,,,,,0,,,,0,1289855,0,61,,40.89,97918.16,28.62,287.58,0
8073084,66.06,2.61,3.56,0,0,-0.02,0.020,-0.44,0.6,9.77,,,,0,,,,,,,265,,,,2017-08-05T23:16:50Z,,,,0,,,,35.487229,-85.95816,,,,,,0,,,,0,1289855,0,61,,40.88,97917.84,28.61,287.61,0
8073114,66.06,2.61,3.56,0,0,-0.02,0.020,-0.44,0.6,9.77,,,,0,,,,,,,296,,,,2017-08-05T23:16:50Z,,,,0,,,,35.487229,-85.95816,,,,,,0,,,,0,1289855,0,61,,40.88,97917.56,28.61,287.63,0
8073141,66.06,2.61,3.56,0,0,-0.02,0.020,-0.44,0.6,9.77,,,,0,,,,,,,321,,,,2017-08-05T23:16:50Z,,,,0,,,,35.487229,-85.95816,,,,,,0,,,,0,1289855,0,61,,40.88,97918.16,28.62,287.58,0
8073170,66.06,2.61,3.56,0,0,-0.02,0.020,-0.44,0.6,9.77,,,,0,,,,,,,350,,,,2017-08-05T23:16:50Z,,,,0,,,,35.487229,-85.95816,,,,,,0,,,,0,1289855,0,61,,40.88,97918.66,28.62,287.54,0
8073195,66.06,2.61,3.56,0,0,-0.01,0.010,-0.44,0.6,9.77,,,,0,,,,,,,378,,,,2017-08-05T23:16:50Z,,,,0,,,,35.487229,-85.95816,,,,,,0,,,,0,1289855,0,61,,40.88,97919.06,28.62,287.51,0
8073222,66.06,2.61,3.56,0,0,-0.01,0.010,-0.44,0.6,9.77,,,,0,,,,,,,402,,,,2017-08-05T23:16:50Z,,,,0,,,,35.487229,-85.95816,,,,,,0,,,,0,1289855,0,61,,40.89,97919.72,28.62,287.45,0
8073247,66.06,2.61,3.56,0,0,0,0.000,-0.44,0.6,9.77,,,,0,,,,,,,429,,,,2017-08-05T23:16:50Z,,,,0,,,,35.487229,-85.95816,,,,,,0,,,,0,1289855,0,61,,40.89,97920.26,28.62,287.4,0
8073272,66.06,2.61,3.56,0,0,0,0.000,-0.44,0.6,9.77,,,,0,,,,,,,452,,,,2017-08-05T23:16:50Z,,,,0,,,,35.487229,-85.95816,,,,,,0,,,,0,1289855,0,61,,40.89,97920.7,28.62,287.37,0
8073296,66.06,2.61,3.56,-0.01,0,0,0.010,-0.44,0.6,9.77,,,,0,,,,,,,478,,,,2017-08-05T23:16:50Z,,,,0,,,,35.487229,-85.95816,,,,,,0,,,,0,1289855,0,61,,40.89,97921.3,28.6,287.31,0
8073321,66.06,2.61,3.56,-0.01,0,0,0.010,-0.44,0.6,9.77,,,,0,,,,,,,501,,,,2017-08-05T23:16:50Z,,,,0,,,,35.487229,-85.95816,,,,,,0,,,,0,1289855,0,61,,40.89,97921.8,28.6,287.27,0
8073345,66.06,2.61,3.56,-0.01,-0.01,0,0.014,-0.44,0.6,9.77,,,,0,,,,,,,528,,,,2017-08-05T23:16:50Z,,,,0,,,,35.487229,-85.95816,,,,,,0,,,,0,1289855,0,61,,40.88,97920.82,28.62,287.36,0
8073369,66.06,2.61,3.56,-0.01,-0.01,0,0.014,-0.44,0.6,9.77,,,,0,,,,,,,550,,,,2017-08-05T23:16:50Z,,,,0,,,,35.487229,-85.95816,,,,,,0,,,,0,1289855,0,61,,40.88,97920.01,28.62,287.43,0
8073394,66.06,2.61,3.56,0,0,0,0.000,-0.44,0.6,9.77,,,,0,,,,,,,575,,,,2017-08-05T23:16:50Z,,,,0,,,,35.487229,-85.95816,,,,,,0,,,,0,1289855,0,61,,40.88,97919.34,28.62,287.48,0
8073423,66.06,2.61,3.56,-0.01,-0.01,0,0.014,-0.44,0.6,9.77,,,,0,,,,,,,602,,,,2017-08-05T23:16:50Z,,,,0,,,,35.487229,-85.95816,,,,,,0,,,,0,1289855,0,61,,40.88,97919.38,28.61,287.48,0
8073443,66.06,2.61,3.56,-0.01,-0.02,0,0.022,-0.44,0.6,9.77,,,,0,,,,,,,624,,,,2017-08-05T23:16:50Z,,,,0,,,,35.487229,-85.95816,,,,,,0,,,,0,1289855,0,61,,40.88,97919.4,28.61,287.48,0
8073468,66.06,2.61,3.56,-0.01,-0.02,-0.01,0.024,-0.44,0.6,9.77,,,,0,,,,,,,650,,,,2017-08-05T23:16:50Z,,,,0,,,,35.487229,-85.95816,,,,,,0,,,,0,1289855,0,61,,40.88,97919.41,28.61,287.48,0
8073492,66.06,2.61,3.56,-0.01,-0.01,0,0.014,-0.44,0.6,9.77,,,,0,,,,,,,672,,,,2017-08-05T23:16:50Z,,,,0,,,,35.487229,-85.95816,,,,,,0,,,,0,1289855,0,61,,40.88,97919.43,28.62,287.48,0
8073521,66.06,2.61,3.56,-0.01,-0.02,0,0.022,-0.44,0.6,9.77,,,,0,,,,,,,701,,,,2017-08-05T23:16:50Z,,,,0,,,,35.487229,-85.95816,,,,,,0,,,,0,1289855,0,61,,40.88,97919.45,28.62,287.47,0
8073545,66.06,2.61,3.56,-0.01,-0.01,0,0.014,-0.44,0.6,9.77,,,,0,,,,,,,728,,,,2017-08-05T23:16:50Z,,,,0,,,,35.487229,-85.95816,,,,,,0,,,,0,1289855,0,61,,40.88,97919.45,28.62,287.47,0
8073575,66.06,2.61,3.56,-0.02,-0.01,0,0.022,-0.44,0.6,9.77,,,,0,,,,,,,754,,,,2017-08-05T23:16:50Z,,,,0,,,,35.487229,-85.95816,,,,,,0,,,,0,1289855,0,61,,40.88,97918.64,28.61,287.54,0
8073600,66.06,2.61,3.56,-0.02,-0.01,-0.02,0.030,-0.44,0.6,9.77,,,,0,,,,,,,780,,,,2017-08-05T23:16:50Z,,,,0,,,,35.487229,-85.95816,,,,,,0,,,,0,1289855,0,61,,40.88,97917.97,28.61,287.6,0
8073625,66.06,2.61,3.56,-0.01,-0.02,-0.02,0.030,-0.44,0.6,9.77,,,,0,,,,,,,804,,,,2017-08-05T23:16:50Z,,,,0,,,,35.487229,-85.95816,,,,,,0,,,,0,1289855,0,61,,40.88,97917.42,28.61,287.65,0
8073654,66.06,2.61,3.56,-0.01,-0.02,-0.03,0.037,-0.44,0.6,9.77,,,,0,,,,,,,835,,,,2017-08-05T23:16:50Z,,,,0,,,,35.487229,-85.95816,,,,,,0,,,,0,1289855,0,61,,40.88,97917.8,28.67,287.61,0
