millis,Heading / Euler X (degrees Magnetic) [raw],Roll / Euler Y [raw],Pitch / Euler Z [raw],Linear Accel (X) [raw],Linear Accel (Y) [raw],Linear Accel (Z) [raw],Gravity Accel (X) [raw],Gravity Accel (Y) [raw],Gravity Accel (Z) [raw],Heading / Euler X,Roll / Euler Y,Pitch / Euler Z,Linear Accel (X),Linear Accel (Y),Linear Accel (Z),Gravity Accel (X),Gravity Accel (Y),Gravity Accel (Z),# Satellites Tracking,HDOP (Horizontal Dilution of Precision),Latitude,Longitude,Fix Age,Date (UTC),Time (UTC),Date Age,Altitude (meters) [raw],Altitude (meters),Vehicle Heading (degrees True),Vehicle Speed (knots) [raw],Vehicle Speed (knots),Characters Received,Sentences Received,# Checksum Failures,Ambient Temperature (*Celcius),Ambient Pressure (Pascal) [raw],Relative Humidity (%),Altitude (meters) [raw]
518268,86.75,-0.88,1.12,0.01,-0.12,-0.06,-0.15,-0.19,9.8,86.75,-0.88,1.12,0,-0.12,-0.06,-0.15,-0.19,9.8,3,263,38.218761,-85.752953,5,7/25/2017,3:45:34,965,183.2,146.85,****** ,***** ,0,88364,1,8,27.6,100143.78,44.32,98.81
518285,86.75,-0.88,1.12,0,-0.09,-0.01,-0.15,-0.19,9.8,86.75,-0.88,1.12,0,-0.11,-0.05,-0.15,-0.19,9.8,3,263,38.218761,-85.752953,20,7/25/2017,3:45:34,980,183.2,163.46,****** ,***** ,0,88380,1,8,27.6,100138.31,44.33,99.27
518304,86.75,-0.88,1.12,0,-0.1,-0.01,-0.15,-0.19,9.8,86.75,-0.88,1.12,0,-0.11,-0.04,-0.15,-0.19,9.8,3,263,38.218761,-85.752953,43,7/25/2017,3:45:34,1003,183.2,170.01,****** ,***** ,0,88400,1,8,27.6,100138.31,44.33,99.27
518323,86.75,-0.88,1.12,-0.01,-0.11,-0.1,-0.15,-0.19,9.8,86.75,-0.88,1.12,0,-0.11,-0.05,-0.15,-0.19,9.8,3,263,38.218761,-85.752953,59,7/25/2017,3:45:34,1019,183.2,173.59,****** ,***** ,0,88416,1,8,27.6,100138.31,44.33,99.27
518344,86.75,-0.88,1.12,0,-0.1,0,-0.15,-0.19,9.8,86.75,-0.88,1.12,0,-0.11,-0.04,-0.15,-0.19,9.8,3,263,38.218761,-85.752953,82,7/25/2017,3:45:34,1042,183.2,175.87,****** ,***** ,0,88436,1,8,27.6,100138.31,44.33,99.27
518362,86.75,-0.88,1.12,0,-0.1,-0.13,-0.15,-0.19,9.8,86.75,-0.88,1.12,0,-0.11,-0.06,-0.15,-0.19,9.8,3,263,38.218761,-85.752953,97,7/25/2017,3:45:34,1058,183.2,177.46,****** ,***** ,0,88456,1,8,27.61,100141.45,44.28,99.01
518382,86.75,-0.88,1.12,-0.02,-0.11,-0.03,-0.15,-0.19,9.8,86.75,-0.88,1.12,0,-0.11,-0.05,-0.15,-0.19,9.8,3,263,38.218761,-85.752953,3,7/25/2017,3:45:34,3,183.2,178.64,102.72,0.22,0.18,88472,2,8,27.61,100141.45,44.28,99.01
518395,86.75,-0.88,1.12,0,-0.12,-0.02,-0.15,-0.19,9.8,86.75,-0.88,1.12,0,-0.11,-0.05,-0.15,-0.19,9.8,3,263,38.218761,-85.752953,19,7/25/2017,3:45:34,19,183.2,179.53,102.72,0.22,0.2,88484,2,8,27.61,100141.45,44.28,99.01
518413,86.75,-0.88,1.12,-0.01,-0.1,-0.13,-0.15,-0.19,9.8,86.75,-0.88,1.12,0,-0.11,-0.06,-0.15,-0.19,9.8,3,263,38.218761,-85.752953,36,7/25/2017,3:45:34,36,183.2,180.23,102.72,0.22,0.2,88504,2,8,27.61,100141.45,44.28,99.01
519185,86.75,-0.88,1.12,0,-0.13,-0.03,-0.15,-0.19,9.8,86.75,-0.88,1.12,0,-0.12,-0.05,-0.15,-0.19,9.8,3,263,38.218761,-85.752953,806,7/25/2017,3:45:34,807,183.2,183.2,102.72,0.22,0.22,88526,2,8,27.6,100143.95,44.3,98.8
520095,86.75,-0.88,1.12,0,-0.11,-0.03,-0.15,-0.19,9.8,86.75,-0.88,1.12,0,-0.12,-0.06,-0.15,-0.19,9.8,3,263,38.218761,-85.75296,712,7/25/2017,3:45:35,712,183.2,183.2,106.09,0.2,0.2,88744,4,8,27.6,100143.37,44.28,98.85
521045,86.75,-0.88,1.12,-0.02,-0.12,-0.01,-0.15,-0.19,9.8,86.75,-0.88,1.12,0,-0.12,-0.05,-0.15,-0.19,9.8,3,263,38.218777,-85.752998,266,7/25/2017,3:45:36,266,183.2,183.2,140.13,0.09,0.09,89306,8,8,27.61,100145.95,44.25,98.63
522009,86.75,-0.88,1.12,-0.04,-0.12,-0.15,-0.15,-0.19,9.8,86.75,-0.88,1.12,-0.01,-0.11,-0.07,-0.15,-0.19,9.8,3,263,38.218777,-85.752998,1229,7/25/2017,3:45:36,1229,183.2,183.2,140.13,0.09,0.09,89306,8,8,27.61,100145.41,44.3,98.68
522811,86.75,-0.88,1.12,0,-0.09,-0.14,-0.15,-0.19,9.8,86.75,-0.88,1.12,0,-0.11,-0.07,-0.15,-0.19,9.8,3,263,38.218784,-85.753014,388,7/25/2017,3:45:38,388,183.2,183.2,94.96,0.07,0.07,89538,10,8,27.62,100144.41,44.29,98.76
523700,86.75,-0.88,1.12,0,-0.09,-0.05,-0.15,-0.19,9.8,86.75,-0.88,1.12,0,-0.11,-0.08,-0.15,-0.19,9.8,3,263,38.2188,-85.753044,313,7/25/2017,3:45:39,313,183.2,183.2,324.7,0.09,0.09,89772,12,8,27.61,100144.04,44.29,98.79
524674,86.75,-0.88,1.12,0,-0.11,-0.05,-0.15,-0.19,9.8,86.75,-0.88,1.12,0,-0.11,-0.07,-0.15,-0.19,9.8,3,263,38.218815,-85.753082,300,7/25/2017,3:45:40,300,183.2,183.2,295.16,0.22,0.21,90006,14,8,27.61,100139.53,44.25,99.17
525649,86.75,-0.88,1.12,-0.01,-0.12,0,-0.15,-0.19,9.8,86.75,-0.88,1.12,0,-0.11,-0.05,-0.15,-0.19,9.8,3,264,38.218822,-85.753105,163,7/25/2017,3:45:41,163,183.2,183.2,289.84,0.31,0.3,90334,16,8,27.61,100139.53,44.27,99.17
526571,86.75,-0.88,1.12,0,-0.11,-0.1,-0.15,-0.19,9.8,86.75,-0.88,1.12,0,-0.11,-0.06,-0.15,-0.19,9.8,3,264,38.218849,-85.753151,6,7/25/2017,3:45:42,126,183.2,183.2,302.4,0.36,0.35,90646,19,8,27.61,100146.77,44.27,98.56
527476,86.75,-0.88,1.12,0,-0.11,-0.04,-0.15,-0.19,9.8,86.75,-0.88,1.12,0,-0.12,-0.06,-0.15,-0.19,9.8,3,264,38.218849,-85.753151,785,7/25/2017,3:45:42,786,183.2,183.2,312.16,0.43,0.43,90802,20,8,27.62,100141.68,44.27,98.99
528320,86.75,-0.88,1.12,-0.02,-0.11,-0.09,-0.15,-0.19,9.8,86.75,-0.88,1.12,0,-0.11,-0.07,-0.15,-0.19,9.8,3,264,38.218853,-85.753174,47,7/25/2017,3:45:44,1632,183.1,183.15,312.16,0.43,0.43,90930,21,8,27.61,100141.3,44.27,99.02
529293,86.75,-0.88,1.12,-0.01,-0.13,-0.02,-0.15,-0.19,9.8,86.75,-0.88,1.12,0,-0.11,-0.04,-0.15,-0.19,9.8,3,264,38.218861,-85.753189,46,7/25/2017,3:45:45,897,183.1,183.1,327.5,0.26,0.26,91148,23,8,27.61,100147.73,44.27,98.48
530170,86.75,-0.88,1.12,0,-0.12,-0.08,-0.15,-0.19,9.8,86.75,-0.88,1.12,0,-0.12,-0.07,-0.15,-0.19,9.8,3,264,38.218861,-85.753189,786,7/25/2017,3:45:45,786,183.1,183.1,322.23,0.22,0.22,91270,24,8,27.61,100142.67,44.25,98.91
531131,86.75,-0.88,1.12,0,-0.11,-0.04,-0.15,-0.19,9.8,86.75,-0.88,1.12,0,-0.1,-0.06,-0.15,-0.19,9.8,3,264,38.218864,-85.753212,639,7/25/2017,3:45:46,639,183.1,183.1,299.79,0.19,0.19,91609,26,8,27.61,100140.9,44.3,99.05
532081,86.75,-0.88,1.12,-0.02,-0.11,-0.04,-0.15,-0.19,9.8,86.75,-0.88,1.12,-0.01,-0.11,-0.06,-0.15,-0.19,9.8,3,264,38.218864,-85.75322,681,7/25/2017,3:45:47,681,183.1,183.1,280.76,0.25,0.25,91843,28,8,27.61,100139.53,44.26,99.17
533064,86.75,-0.88,1.12,-0.01,-0.11,-0.1,-0.15,-0.19,9.8,86.75,-0.88,1.12,0,-0.11,-0.07,-0.15,-0.19,9.8,3,264,38.218872,-85.75325,427,7/25/2017,3:45:48,427,183.1,183.1,290.2,0.32,0.32,92311,32,8,27.61,100140.49,44.27,99.09
533939,86.75,-0.88,1.12,0,-0.1,-0.08,-0.15,-0.19,9.8,86.75,-0.88,1.12,0,-0.11,-0.08,-0.15,-0.19,9.8,3,264,38.218872,-85.75325,1303,7/25/2017,3:45:48,1303,183.1,183.1,290.2,0.32,0.32,92311,32,8,27.61,100142.81,44.25,98.89
534767,86.75,-0.88,1.12,-0.01,-0.12,-0.1,-0.15,-0.19,9.8,86.75,-0.88,1.12,0,-0.12,-0.07,-0.15,-0.19,9.8,3,264,38.218872,-85.753258,386,7/25/2017,3:45:50,386,183.1,183.1,280.61,0.24,0.24,92545,34,8,27.61,100143.22,44.27,98.86
535637,86.75,-0.88,1.12,0,-0.11,-0.04,-0.15,-0.19,9.8,86.75,-0.88,1.12,0,-0.11,-0.06,-0.15,-0.19,9.8,3,265,38.218872,-85.753265,147,7/25/2017,3:45:51,147,183.1,183.1,282.36,0.27,0.27,92884,36,8,27.61,100140.08,44.25,99.12
536583,86.75,-0.88,1.12,0,-0.1,-0.02,-0.15,-0.19,9.8,86.75,-0.88,1.12,0,-0.12,-0.06,-0.15,-0.19,9.8,3,264,38.218872,-85.753273,204,7/25/2017,3:45:52,204,183.1,183.1,259.9,0.19,0.2,93118,38,8,27.61,100140.08,44.28,99.12
