File successfully initialized.
millis,Heading / Euler X (degrees Magnetic) [raw],Heading / Euler X (degrees Magnetic),Roll / Euler Y,Pitch / Euler Z,Linear Accel (X),Linear Accel (Y),Linear Accel (Z),Gravity Accel (X),Gravity Accel (Y),Gravity Accel (Z),# Satellites Tracking,HDOP (Horizontal Dilution of Precision),Latitude,Longitude,Fix Age,Date (UTC),Time (UTC),Date Age,Altitude (meters),Vehicle Heading (degrees True),Vehicle Speed (knots),Characters Received,Sentences Received,# Checksum Failures,Ambient Temperature (*Celcius),Ambient Pressure (Pascal) [filtered],Ambient Pressure (Pascal) [raw],Relative Humidity (%),Altitude (meters) [filtered],Altitude (meters) [raw],
2963,0.00,0.00,-1.05,1.55,0.00,-0.00,0.22,-0.18,-0.26,7.85,**** ,**** ,********** ,*********** ,**** ,**/**/****,**:**:**,**** ,****** ,****** ,***** ,0,0,0,NAN ,NAN ,NAN ,NAN ,NAN ,NAN ,
2987,0.00,0.00,-1.17,1.73,0.00,-0.00,0.26,-0.21,-0.29,8.74,**** ,**** ,********** ,*********** ,**** ,**/**/****,**:**:**,**** ,****** ,****** ,***** ,75,0,0,NAN ,NAN ,NAN ,NAN ,NAN ,NAN ,
3012,0.00,0.00,-1.22,1.80,0.00,0.00,0.25,-0.21,-0.31,9.09,**** ,**** ,********** ,*********** ,**** ,**/**/****,**:**:**,**** ,****** ,****** ,***** ,97,0,1,NAN ,NAN ,NAN ,NAN ,NAN ,NAN ,
3040,0.00,0.00,-1.24,1.84,0.00,0.01,0.25,-0.22,-0.31,9.28,**** ,**** ,********** ,*********** ,**** ,**/**/****,**:**:**,**** ,****** ,****** ,***** ,97,0,1,27.58,NAN ,100068.74,44.51,NAN ,105.12,
3068,0.00,0.00,-1.26,1.86,0.00,0.00,0.25,-0.22,-0.32,9.40,**** ,**** ,********** ,*********** ,**** ,**/**/****,**:**:**,**** ,****** ,****** ,***** ,97,0,1,27.58,NAN ,100068.74,44.51,NAN ,105.12,
3094,0.00,0.00,-1.27,1.88,0.00,0.00,0.24,-0.22,-0.32,9.48,**** ,**** ,********** ,*********** ,**** ,**/**/****,**:**:**,**** ,****** ,****** ,***** ,97,0,1,27.60,NAN ,100065.91,44.52,NAN ,105.36,
3120,0.00,0.00,-1.28,1.89,0.00,0.00,0.25,-0.22,-0.32,9.55,**** ,**** ,********** ,*********** ,**** ,**/**/****,**:**:**,**** ,****** ,****** ,***** ,97,0,1,27.60,NAN ,100065.91,44.52,NAN ,105.36,
3145,0.00,0.00,-1.29,1.90,0.00,0.00,0.23,-0.23,-0.32,9.59,**** ,**** ,********** ,*********** ,**** ,**/**/****,**:**:**,**** ,****** ,****** ,***** ,97,0,1,27.60,NAN ,100065.91,44.52,NAN ,105.36,
3172,0.00,0.00,-1.29,1.91,0.00,0.00,0.24,-0.23,-0.32,9.63,**** ,**** ,********** ,*********** ,**** ,**/**/****,**:**:**,**** ,****** ,****** ,***** ,97,0,1,27.63,NAN ,100063.50,44.52,NAN ,105.56,
3198,0.00,0.00,-1.30,1.91,0.00,-0.00,0.23,-0.23,-0.33,9.66,**** ,**** ,********** ,*********** ,**** ,**/**/****,**:**:**,**** ,****** ,****** ,***** ,97,0,1,27.63,NAN ,100063.50,44.52,NAN ,105.56,
3227,0.00,0.00,-1.30,1.92,0.00,0.00,0.24,-0.23,-0.33,9.69,**** ,**** ,********** ,*********** ,**** ,**/**/****,**:**:**,**** ,****** ,****** ,***** ,97,0,1,27.63,NAN ,100063.50,44.52,NAN ,105.56,
3252,0.00,0.00,-1.30,1.92,0.00,0.00,0.22,-0.23,-0.33,9.70,**** ,**** ,********** ,*********** ,**** ,**/**/****,**:**:**,**** ,****** ,****** ,***** ,97,0,1,27.66,NAN ,100063.44,44.54,NAN ,105.57,
3278,0.00,0.00,-1.30,1.92,0.00,0.00,0.23,-0.23,-0.33,9.72,**** ,**** ,********** ,*********** ,**** ,**/**/****,**:**:**,**** ,****** ,****** ,***** ,97,0,1,27.66,NAN ,100063.44,44.54,NAN ,105.57,
3308,0.00,0.00,-1.30,1.93,0.00,-0.00,0.22,-0.23,-0.33,9.73,**** ,**** ,********** ,*********** ,**** ,**/**/****,**:**:**,**** ,****** ,****** ,***** ,97,0,1,27.68,NAN ,100068.40,44.52,NAN ,105.15,
3334,0.00,0.00,-1.31,1.93,-0.00,-0.00,0.24,-0.23,-0.33,9.74,**** ,**** ,********** ,*********** ,**** ,**/**/****,**:**:**,**** ,****** ,****** ,***** ,97,0,1,27.68,NAN ,100068.40,44.52,NAN ,105.15,
3361,0.00,0.00,-1.31,1.93,0.00,-0.00,0.23,-0.23,-0.33,9.75,**** ,**** ,********** ,*********** ,**** ,**/**/****,**:**:**,**** ,****** ,****** ,***** ,97,0,1,27.68,NAN ,100068.40,44.52,NAN ,105.15,
3388,0.00,0.00,-1.31,1.93,0.00,0.00,0.23,-0.23,-0.33,9.76,**** ,**** ,********** ,*********** ,**** ,**/**/****,**:**:**,**** ,****** ,****** ,***** ,97,0,1,27.69,NAN ,100071.80,44.46,NAN ,104.86,
3415,0.00,0.00,-1.31,1.93,0.00,0.00,0.24,-0.23,-0.33,9.76,**** ,**** ,********** ,*********** ,**** ,**/**/****,**:**:**,**** ,****** ,****** ,***** ,97,0,1,27.69,NAN ,100071.80,44.46,NAN ,104.86,
3441,0.00,0.00,-1.31,1.93,-0.00,0.00,0.24,-0.23,-0.33,9.77,**** ,**** ,********** ,*********** ,**** ,**/**/****,**:**:**,**** ,****** ,****** ,***** ,97,0,1,27.71,NAN ,100066.01,44.48,NAN ,105.35,
3468,0.00,0.00,-1.31,1.93,-0.00,0.00,0.25,-0.23,-0.33,9.77,**** ,**** ,********** ,*********** ,**** ,**/**/****,**:**:**,**** ,****** ,****** ,***** ,97,0,1,27.71,NAN ,100066.01,44.48,NAN ,105.35,
3493,0.00,0.00,-1.31,1.93,0.00,0.00,0.23,-0.23,-0.33,9.78,**** ,**** ,********** ,*********** ,**** ,**/**/****,**:**:**,**** ,****** ,****** ,***** ,97,0,1,27.71,NAN ,100066.01,44.48,NAN ,105.35,
3524,0.00,0.00,-1.31,1.94,0.00,0.00,0.24,-0.23,-0.33,9.78,**** ,**** ,********** ,*********** ,**** ,**/**/****,**:**:**,**** ,****** ,****** ,***** ,97,0,1,27.71,NAN ,100067.20,44.50,NAN ,105.25,
3552,0.00,0.00,-1.31,1.94,-0.00,0.00,0.23,-0.23,-0.33,9.78,**** ,**** ,********** ,*********** ,**** ,**/**/****,**:**:**,**** ,****** ,****** ,***** ,97,0,1,27.71,NAN ,100067.20,44.50,NAN ,105.25,
3580,0.00,0.00,-1.31,1.94,-0.00,0.01,0.25,-0.23,-0.33,9.78,**** ,**** ,********** ,*********** ,**** ,**/**/****,**:**:**,**** ,****** ,****** ,***** ,97,0,1,27.72,NAN ,100062.95,44.49,NAN ,105.61,
3608,0.00,0.00,-1.31,1.94,-0.00,0.00,0.24,-0.23,-0.33,9.78,**** ,**** ,********** ,*********** ,**** ,**/**/****,**:**:**,**** ,****** ,****** ,***** ,97,0,1,27.72,NAN ,100062.95,44.49,NAN ,105.61,
3634,0.00,0.00,-1.31,1.94,-0.00,0.00,0.24,-0.23,-0.33,9.78,**** ,**** ,********** ,*********** ,**** ,**/**/****,**:**:**,**** ,****** ,****** ,***** ,97,0,1,27.72,NAN ,100062.95,44.49,NAN ,105.61,
3661,0.00,0.00,-1.31,1.94,0.00,0.00,0.24,-0.23,-0.33,9.79,**** ,**** ,********** ,*********** ,**** ,**/**/****,**:**:**,**** ,****** ,****** ,***** ,97,0,1,27.73,NAN ,100066.47,44.49,NAN ,105.31,
3688,0.00,0.00,-1.31,1.94,-0.00,0.00,0.24,-0.23,-0.33,9.79,**** ,**** ,********** ,*********** ,**** ,**/**/****,**:**:**,**** ,****** ,****** ,***** ,97,0,1,27.73,NAN ,100066.47,44.49,NAN ,105.31,
